 IT 	 P7513467 	 C2E 	 Phitronics 	 Windows 8.1 64 Bits 	32	 1024x768 	1
 AU 	 P78  234 	 PXII 	LENOVO	Windows 7 64 Bits	8	640x480	1
 GB 	 P76   567 	 PXII 	LOGIN	Windows 8.1 32 Bits	64	1440x900	1
 CA 	 P982579 	 C2Q 	ECS	Windows 8 64 Bits	32	1360x768	1
 RU 	 P982579 	 PXII 	LOGIN	Windows 8 32 Bits	16	1768x992	1
 DE 	 P982579 	 PDC 	Phitronics	Windows 7 64 Bits	24	1280x1024	1
 HK 	 P76   567 	 C2E 	PEGATRON	Windows 7 64 Bits	16	720x480	1
 FR 	 P962134 	 SEMP 	ASUSTeK COMPUTER INC.	Windows 7 64 Bits	8	1280x720	1
 CN 	 P77 0 1 0 	 C2D 	BIOSTAR Group	Windows 10 64 Bits	4	1152x864	1
	 P76   567 	 PXII 	ECS	Windows XP 32 Bits	7	1280x960	1
 DE 	 P77 0 1 0 	 A64X2 	ASUSTeK COMPUTER INC.	Windows 10 64 Bits	2	4096 × 2160	1
 HK 	 P78  234 	 SEMP 	Phitronics	Windows 8 64 Bits	16	1360x768	1
 US 	 P7513467 	 CEDC 	Phitronics	Windows 7 32 Bits	16	1768x992	1
 CN 	 P982579 	 C2Q 	Login Informatica LTDA	Windows 8 64 Bits	16	1280x800	1
 DE 	 P78  234 	 C2D 	ASUS	Windows 7 64 Bits	16	1680x1050	1
 DE 	 P7513467 	 C2Q 	LENOVO	Windows 10 32 Bits	32	1280x600	1
 RU 	 P962134 	 CI7 	Gigabyte Technology Co., Ltd.	Windows 10 64 Bits	16	1920x1080	1
 CA 	 P76   567 	 PXII 	ECS	Windows 8 64 Bits	32	3840 × 2160	1
 IT 	 P962134 	 C2D 	ASUSTeK COMPUTER INC.	Windows 10 64 Bits	8	1280x960	1
 CN 	 P78  234 	 C2Q 	Login Informatica LTDA	Windows 7 64 Bits	32	720x480	1
 US 	 P77 0 1 0 	 CI7 	HP	Windows 10 32 Bits	8	1280x1024	1
 CN 	 P76   567 	 SEMP 	System manufacturer	Windows 8 32 Bits	12	1152x864	1
	 P982579 	 PDC 	HP	Windows 8.1 64 Bits	8	1768x992	1
